iter	Passed	Remaining
403	7126	10512
404	7143	10494
405	7159	10474
406	7173	10451
407	7187	10428
408	7210	10419
409	7226	10399
410	7242	10379
411	7259	10361
412	7277	10344
413	7302	10336
414	7320	10319
415	7335	10298
416	7348	10274
417	7375	10269
418	7405	10268
419	7429	10259
420	7458	10257
421	7479	10244
422	7498	10228
423	7508	10200
424	7531	10190
425	7545	10166
426	7558	10143
427	7573	10121
428	7589	10101
429	7605	10082
430	7619	10059
431	7635	10038
432	7650	10018
433	7663	9994
434	7680	9976
435	7697	9957
436	7712	9936
437	7726	9913
438	7743	9894
439	7758	9874
440	7770	9850
441	7785	9828
442	7800	9807
443	7811	9782
444	7824	9758
445	7837	9735
446	7851	9713
447	7862	9688
448	7876	9666
449	7888	9641
450	7902	9619
451	7918	9600
452	7934	9581
453	7953	9565
454	7967	9543
455	7975	9514
456	7982	9485
457	7992	9458
458	8001	9430
459	8010	9403
460	8025	9383
461	8040	9362
462	8055	9343
463	8067	9319
464	8083	9299
465	8097	9278
466	8109	9255
467	8124	9235
468	8140	9217
469	8155	9197
470	8171	9178
471	8182	9153
472	8197	9133
473	8212	9113
474	8226	9092
475	8241	9072
476	8256	9052
477	8271	9032
478	8288	9015
479	8301	8993
480	8315	8972
481	8330	8952
482	8345	8933
483	8361	8914
484	8378	8896
485	8392	8876
486	8404	8853
487	8421	8835
488	8436	8816
489	8454	8799
490	8464	8774
491	8472	8748
492	8491	8732
493	8499	8706
494	8507	8679
495	8524	8661
496	8533	8636
497	8541	8610
498	8557	8591
499	8565	8565
500	8573	8538
501	8582	8513
502	8597	8494
503	8605	8468
504	8612	8442
505	8630	8425
506	8638	8400
507	8646	8373
508	8652	8346
509	8660	8320
510	8667	8294
511	8676	8270
512	8683	8243
513	8691	8217
514	8698	8191
515	8706	8166
516	8712	8139
517	8718	8112
518	8726	8087
519	8732	8060
520	8741	8036
521	8748	8011
522	8758	7987
523	8774	7971
524	8787	7950
525	8802	7931
526	8816	7913
527	8831	7894
528	8843	7873
529	8852	7849
530	8859	7825
531	8876	7808
532	8884	7784
533	8890	7758
534	8898	7734
535	8914	7717
536	8922	7692
537	8929	7668
538	8938	7644
539	8953	7626
540	8960	7602
541	8969	7579
542	8986	7563
543	8994	7539
544	9003	7516
545	9012	7493
546	9022	7472
547	9030	7448
548	9037	7424
549	9044	7399
550	9056	7380
551	9064	7356
552	9070	7331
553	9076	7306
554	9083	7282
555	9089	7258
556	9096	7234
557	9101	7209
558	9107	7185
559	9114	7161
560	9124	7140
561	9131	7116
562	9139	7094
563	9145	7069
564	9151	7045
565	9158	7022
566	9166	7000
567	9175	6978
568	9181	6954
569	9189	6932
570	9196	6909
571	9204	6887
572	9212	6864
573	9217	6841
574	9227	6820
575	9234	6797
576	9240	6774
577	9247	6751
578	9252	6727
579	9258	6704
580	9267	6683
581	9273	6660
582	9280	6638
583	9287	6615
584	9293	6592
585	9300	6570
586	9305	6547
587	9313	6525
588	9319	6503
589	9334	6487
590	9342	6465
591	9348	6443
592	9357	6422
593	9372	6405
594	9380	6384
595	9386	6362
596	9392	6340
597	9408	6324
598	9414	6302
599	9422	6281
600	9431	6261
601	9446	6245
602	9453	6224
603	9463	6204
604	9475	6186
605	9481	6164
606	9488	6143
607	9496	6122
608	9505	6102
609	9512	6082
610	9520	6061
611	9527	6040
612	9535	6020
613	9545	6000
614	9554	5981
615	9561	5960
616	9569	5940
617	9579	5921
618	9586	5900
619	9593	5880
620	9600	5859
621	9607	5838
622	9614	5817
623	9622	5798
624	9629	5777
625	9635	5756
626	9643	5736
627	9649	5715
628	9658	5696
629	9664	5676
630	9671	5655
631	9681	5637
632	9687	5616
633	9694	5596
634	9702	5576
635	9717	5561
636	9724	5541
637	9734	5523
638	9746	5506
639	9758	5488
640	9771	5472
641	9786	5457
642	9798	5440
643	9809	5422
644	9823	5406
645	9835	5389
646	9848	5373
647	9860	5356
648	9887	5347
649	9909	5335
650	9924	5320
651	9936	5303
652	9955	5290
653	9967	5273
654	9978	5255
655	9991	5239
656	10004	5223
657	10030	5213
658	10043	5197
659	10058	5181
660	10074	5166
661	10088	5151
662	10105	5136
663	10118	5120
664	10132	5104
665	10148	5089
666	10157	5071
667	10164	5051
668	10173	5033
669	10180	5014
670	10187	4994
671	10195	4976
672	10204	4958
673	10216	4941
674	10232	4926
675	10245	4910
676	10259	4894
677	10273	4879
678	10283	4861
679	10290	4842
680	10298	4824
681	10306	4805
682	10312	4786
683	10319	4767
684	10325	4748
685	10332	4729
686	10338	4710
687	10344	4691
688	10350	4672
689	10356	4652
690	10363	4634
691	10368	4614
692	10373	4595
693	10379	4576
694	10385	4557
695	10391	4538
696	10397	4519
697	10402	4500
698	10408	4481
699	10413	4462
700	10419	4444
701	10425	4425
702	10430	4406
703	10435	4387
704	10440	4368
705	10446	4350
706	10454	4332
707	10459	4313
708	10468	4296
709	10479	4280
710	10491	4264
711	10495	4245
712	10502	4227
713	10509	4209
714	10515	4191
715	10521	4173
716	10528	4155
717	10535	4137
718	10541	4119
719	10548	4102
720	10554	4084
721	10560	4066
722	10566	4048
723	10571	4030
724	10577	4012
725	10583	3994
726	10590	3976
727	10594	3958
728	10601	3940
729	10606	3922
730	10613	3905
731	10619	3888
732	10626	3870
733	10633	3853
734	10638	3835
735	10644	3818
736	10649	3800
737	10658	3783
738	10664	3766
739	10669	3748
740	10674	3731
741	10680	3713
742	10686	3696
743	10691	3678
744	10697	3661
745	10703	3644
746	10709	3627
747	10714	3609
748	10720	3592
749	10725	3575
750	10731	3558
751	10736	3540
752	10742	3523
753	10748	3506
754	10753	3489
755	10758	3472
756	10762	3454
757	10768	3437
7763	10707	33077764	10720	3293
765	10736	3279
766	10750	3265
767	10760	3250
768	10767	3234
769	10774	3218
770	10780	3202
771	10786	3185
772	10792	3169
773	10797	3152
774	10806	3137
775	10812	3121
776	10819	3105
777	10826	3089
778	10832	30737779	10840	30577780	10845	30417781	10853	30257782	10859	3009778	10944	3104
779	10950	3088
780	10957	3072
781	10965	3056
782	10981	3043
783	10988	3027
784	10994	3011
785	11000	2995
786	11015	2981
787	11022	2965
788	11029	2949
789	11034	2933
790	11048	2919
791	11054	2903
792	11060	2887
793	11066	2871
794	11072	2855
795	11084	2840
796	11091	2825
797	11096	2808
798	11101	2792
799	11107	2776
800	11119	2762
801	11124	2746
802	11128	2730
803	11133	2714
804	11139	2698
805	11143	2682
806	11148	2666
807	11153	2650
808	11159	2634
809	11163	2618
810	11168	2602
811	11173	2587
812	11178	2571
813	11184	2555
814	11188	2539
815	11193	2524
816	11198	2508
817	11202	2492
818	11207	2476
819	11217	2462
820	11221	2446
821	11226	2431
822	11231	2415
823	11237	2400
824	11242	2384
825	11247	2369
826	11252	2354
827	11259	2338
828	11264	2323
829	11269	2308
830	11274	2292
831	11279	2277
832	11284	2262
833	11288	2246
834	11292	2231
835	11297	2216
836	11302	2201
