iter	Logloss
0	0.655787089
11	0.621713343322	0.592928883933	0.56370351164	0.5389564616
5	0.5163539912
6	0.4959675649
7	0.4777487691
8	0.4601462326
9	0.4448196665
10	0.4299632772
11	0.4163967412
12	0.4041476618
13	0.3923998108
14	0.3820245743
15	0.3729855932
16	0.364533076
17	0.3563162715
18	0.3514416682
19	0.3458385569220	0.33887883
221	0.3310224072222	0.3256852542323	0.32101265924	0.3185498021
25	0.3143426056
26	0.3103254267
27	0.3062145564
28	0.3026792399
29	0.2993728663
30	0.29604334
31	0.2935633825
32	0.2908012085
33	0.288293045
34	0.2865652771
35	0.2841299629
36	0.2817851779
37	0.2796713804
38	0.2778671595
39	0.2763486786
40	0.2744593074
41	0.2730044022
42	0.271362929
43	0.2697556877
44	0.2684134
45	0.2674794884
46	0.266086057
47	0.265004879
48	0.2636441841
49	0.2628919347
50	0.2618951111
51	0.2610810979
52	0.260256485
53	0.2594685516
54	0.2584154	0.2576268794
55	0.2570325712
56	0.256288386
57	0.2554714597
58	0.2547106794
59	0.2541220665
60	0.2534857229
61	0.2529993299
62	0.2524279747
63	0.2519264921
64	0.2515080846
65	0.2508262164
66	0.2501061961
67	0.2495634537
68	0.2489821472
69	0.2486404648
70	0.2481691246
71	0.2475816943
72	0.2472212486
73	0.2467886861
74	0.2464784406
75	0.2460552699
76	0.2458429985
77	0.2453906199
78	0.2449454371
79	0.2445038719
80	0.2441168365
81	0.2437496478
82	0.2435225245
83	0.243108139
84	0.2427660001
85	0.2424616826
86	0.2421518504
87	0.2418816007
88	0.241491408
89	0.2412690964
90	0.241002051
91	0.2406184044
92	0.2404103127
93	0.2400694555
94	0.2397854411
95	0.2395515645
96	0.2393367526
97	0.2390420621
98	0.2388527451
99	0.2385335464
100	0.2383134308
101	0.2380177205
102	0.237809124
103	0.2375616608
104	0.237319322
105	0.2370405223
106	0.2368580793
107	0.2365496864
108	0.2363082593
109	0.236046257
110	0.235782692
111	0.2355631879
112	0.2353899434
113	0.2351925252
114	0.2349622993
115	0.234737147
116	0.2345364418
117	0.2343945096
118	0.2342598279
119	0.2340939992
120	0.2339303157
121	0.2337523435
122	0.2335988719
123	0.2334490751
124	0.233268823
125	0.233125075
126	0.2330272598
127	0.232854744
128	0.2326963056
129	0.232455836
130	0.2323207944
131	0.2321579386
132	0.2319920286
133	0.2317975718
134	0.2315940755
135	0.2313913663
136	0.2312471123
137	0.2310738513
138	0.2308621902
139	0.2306667175
140	0.2305566279
141	0.2303572044
142	0.2302404645
143	0.230087513
144	0.2299211133
145	0.2297677867
146	0.2296298625
147	0.2294410629
148	0.2292304344
149	0.2291128553
150	0.2289197934
151	0.2287890129
152	0.2286476657
153	0.2285156682
154	0.2283883286
155	0.2282253075
156	0.228079703
157	0.2279073435
158	0.2278010343
159	0.2275891329
160	0.2274641876
161	0.2272891744
162	0.2271365674
163	0.2270503909
164	0.2269593646
165	0.2268447291
166	0.2267025235
167	0.2266206195
168	0.2264682795
169	0.2263541323
170	0.2262634201
171	0.2261661212
172	0.226043958
173	0.2258746287
174	0.2257856204
175	0.2256999524
176	0.2256106249
177	0.2255088081
178	0.225420358
179	0.2253579725
180	0.2252615153
181	0.2251598841
182	0.2250321604
183	0.2249378497
184	0.22480019
185	0.2246588147
186	0.2245865644
187	0.2245043132
188	0.2244198303
189	0.2243357328
190	0.2241999283
191	0.2240901438
192	0.2239633497
193	0.2238812065
194	0.2238097458
195	0.2237205683
196	0.2235947418
197	0.2235127157
198	0.2233580411
199	0.2232825025
200	0.2231889051
201	0201	0.2228799578
202	0.2227129784
203	0.2225826874
204	0.2224701958
205	0.2223212357
206	0.2221788699
207	0.2221148376
208	0.2219870529
209	0.2218521932
210	0.2217372576
211	0.2216667862
212	0.2215635643
213	0.2214532102
214	0.2213708242
215	0.2212944209
216	0.2211955872
217	0.2211075363
218	0.2210131518
219	0.2208812955
220	0.220787487
221	0.2206879476
222	0.2205955518
223	0.2204801852
224	0.220408137
225	0.2203083407
226	0.2201905403
227	0.2201040878
228	0.2199988327
229	0.219912501
230	0.2197979139
231	0.2197031733
232	0.2195778109
233	0.2194679362
234	0.2193346418
235	0.2192434374
236	0.2191818492
237	0.2190254199
238	0.2189460424
239	0.2188690859
240	0.2187885806
241	0.2186224124
242	0.2185533918
243	0.2184489415
244	0.2184069163
245	0.2183484561
246	0.2182756259
247	0.2182046178
248	0.2181124242
249	0.2180410881
250	0.2178837331
251	0.2177815437
252	0.2177104289
253	0.2176298434
254	0.2174948769
255	0.2173869705
256	0.2172700411
257	0.2171611671
258	0.2170797068
259	0.2170184008
260	0.2169565748
261	0.216883508
262	0.2168135529
263	0.2166831029
264	0.2165887375
265	0.2164787852
266	0.2163435237
